,year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
71,1980,MA,Massachusetts,5728288,34444,232,1562.0,,13492,19158,313787,99697,153849,60241,,694900
72,1980,MD,Maryland,4192211,35735,399,1681.0,,16461,17194,242214,71183,152144,18887,,554217
73,1980,ME,Maine,1123670,2173,32,145.0,,346,1650,46904,13291,31151,2462,,98009
74,1980,MI,Michigan,9228128,59014,940,4304.0,,22519,31251,557051,160688,342384,53979,,1227826
75,1980,MN,Minnesota,4061235,9250,106,942.0,,4025,4177,185668,50602,123050,12016,,388894
76,1980,MO,Missouri,4901288,27177,544,1600.0,,10958,14075,239115,81798,136998,20319,,530984
77,1980,MT,Montana,781592,1740,31,164.0,,266,1279,37531,7430,27587,2514,,78378
78,1980,NC,North Carolina,5843665,26589,619,1324.0,,4810,19836,244585,83150,148804,12631,,541024
79,1980,ND,North Dakota,652437,352,8,62.0,,50,232,18984,3186,14629,1169,,38610
80,1980,NE,Nebraska,1563921,3512,69,363.0,,1286,1794,63818,14316,45692,3810,,134297
81,1980,NH,New Hampshire,919114,1653,23,159.0,,386,1085,41358,12067,26443,2848,,85863
82,1980,NJ,New Jersey,7342164,44373,504,2257.0,,22299,19313,425623,137900,234160,53563,,937735
83,1980,NM,New Mexico,1295474,7967,170,561.0,,1657,5579,69490,19335,45613,4542,,154353
84,1980,NV,Nevada,800312,7304,160,538.0,,3686,2920,63556,23263,34864,5429,,141182
85,1980,NY,New York,17506690,180235,2228,5405.0,,112273,60329,1029749,360925,535783,133041,,2414563
86,1980,OH,Ohio,10766808,53646,871,3696.0,,24082,24997,531141,157874,327322,45945,,1165878
87,1980,OK,Oklahoma,3001252,12589,299,1088.0,,3147,8055,139061,50802,75649,12610,,302212
88,1980,OR,Oregon,2610477,12802,132,1084.0,,3978,7608,161759,45641,106712,9406,,348038
89,1980,PA,Pennsylvania,11824220,43032,809,2722.0,,21039,18462,398761,122800,226496,49465,,880864
90,1980,RI,Rhode Island,945835,3864,42,162.0,,1122,2538,52249,16233,28037,7979,,112064
91,1980,SC,South Carolina,3064557,20225,348,1148.0,,3620,15109,146461,51177,85905,9379,,332224
92,1980,SD,South Dakota,688217,873,5,86.0,,138,644,21447,4766,15521,1160,,44554
93,1980,TN,Tennessee,4545590,20824,489,1700.0,,8208,10427,183632,68251,98876,16505,,407212
94,1980,TX,Texas,14169829,77978,2392,6700.0,,29547,39339,792480,262600,450792,79088,,1734216
95,1980,UT,Utah,1458729,4425,55,404.0,,1170,2796,81357,19283,57354,4720,,171160
96,1980,VA,Virginia,5323412,16355,459,1458.0,,6392,8046,229587,64020,153437,12130,,490426
97,1980,VT,Vermont,511299,914,11,149.0,,199,555,24592,7806,15278,1508,,50863
98,1980,WA,Washington,4113331,19098,225,2169.0,,5558,11146,265338,76598,172468,16272,,566703
99,1980,WI,Wisconsin,4680917,8546,136,697.0,,3310,4403,216073,50524,154070,11479,,448541
100,1980,WV,West Virginia,1930787,3547,138,306.0,,936,2167,45719,14258,27606,3855,,98226
101,1980,WY,Wyoming,468954,1841,29,134.0,,208,1470,21543,4238,15686,1619,,46634
102,1981,,,229465714,1361820,22520,82500.0,,592910,663900,12061900,3779700,7194400,1087800,,26764950
103,1981,AK,Alaska,412000,2537,60,421.0,,472,1584,24634,5479,16310,2845,,53921
104,1981,AL,Alabama,3916000,18423,465,1021.0,,4952,11985,173411,56811,105471,11129,,382647
105,1981,AR,Arkansas,2294000,7119,209,577.0,,1776,4557,79972,24732,50959,4281,,173605
106,1981,AZ,Arizona,2793000,16082,227,1064.0,,4961,9830,196575,57655,127469,11451,,424250
107,1981,CA,California,24159000,208485,3143,13566.0,,93781,97995,1625302,540806,921939,162557,,3654008
108,1981,CO,Colorado,2963000,15755,239,1352.0,,4726,9438,202119,60197,129658,12264,,434396
109,1981,CT,Connecticut,3132000,14033,168,687.0,,7709,5469,168790,52990,96927,18873,,364959
110,1981,DC,District of Columbia,636000,14468,223,414.0,,10399,3432,53442,16832,32845,3765,,135406
111,1981,DE,Delaware,598000,3044,40,170.0,,844,1990,36958,9627,24759,2572,,79834
112,1981,FL,Florida,10166000,98109,1522,5707.0,,35473,55407,718470,241536,431222,45712,,1627451
113,1981,GA,Georgia,5569000,30527,960,2362.0,,10938,16267,282926,93121,171170,18635,,624544
114,1981,HI,Hawaii,979000,2424,47,340.0,,1453,584,61636,16726,40699,4211,,127780
