year,state_abbr,state_name,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft,caveats,all_crimes
1980,WY,Wyoming,468954,1841,29,134.0,,208,1470,21543.0,4238.0,15686,1619,,29121.0
1981,,,229465714,1361820,22520,82500.0,,592910,663900,12061900.0,3779700.0,7194400,1087800,,17889840.0
1981,AK,Alaska,412000,2537,60,421.0,,472,1584,24634.0,5479.0,16310,2845,,34294.0
1981,AL,Alabama,3916000,18423,465,1021.0,,4952,11985,173411.0,56811.0,105471,11129,,261095.0
1981,AR,Arkansas,2294000,7119,209,577.0,,1776,4557,79972.0,24732.0,50959,4281,,116589.0
1981,AZ,Arizona,2793000,16082,227,1064.0,,4961,9830,196575.0,57655.0,127469,11451,,280369.0
1981,CA,California,24159000,208485,3143,13566.0,,93781,97995,1625302.0,540806.0,921939,162557,,2475731.0
1981,CO,Colorado,2963000,15755,239,1352.0,,4726,9438,202119.0,60197.0,129658,12264,,287748.0
1981,CT,Connecticut,3132000,14033,168,687.0,,7709,5469,168790.0,52990.0,96927,18873,,241450.0
1981,DC,District of Columbia,636000,14468,223,414.0,,10399,3432,53442.0,16832.0,32845,3765,,88397.0
1981,DE,Delaware,598000,3044,40,170.0,,844,1990,36958.0,9627.0,24759,2572,,51659.0
1981,FL,Florida,10166000,98109,1522,5707.0,,35473,55407,718470.0,241536.0,431222,45712,,1115044.0
1981,GA,Georgia,5569000,30527,960,2362.0,,10938,16267,282926.0,93121.0,171170,18635,,423801.0
1981,HI,Hawaii,979000,2424,47,340.0,,1453,584,61636.0,16726.0,40699,4211,,81417.0
1981,IA,Iowa,2897000,5915,76,389.0,,1554,3896,130723.0,30925.0,93333,6465,,171535.0
1981,ID,Idaho,959000,2717,43,198.0,,362,2114,40733.0,11255.0,27423,2055,,56862.0
1981,IL,Illinois,11455000,90781,1205,3716.0,,42752,43108,609767.0,173142.0,366696,69929,,918003.0
1981,IN,Indiana,5466000,18672,388,1616.0,,7050,9618,229472.0,63887.0,147038,18547,,322037.0
1981,KS,Kansas,2381000,8796,151,733.0,,2611,5301,119880.0,36768.0,77039,6073,,170896.0
1981,KY,Kentucky,3661000,10599,308,766.0,,3687,5838,118690.0,38893.0,71194,8603,,174328.0
1981,LA,Louisiana,4305000,27478,673,1782.0,,8698,16325,199295.0,61756.0,121955,15584,,305527.0
1981,MA,Massachusetts,5770000,36273,210,1580.0,,15633,18850,300428.0,95080.0,147691,57657,,450841.0
1981,MD,Maryland,4261000,37800,421,1654.0,,18085,17640,241625.0,70740.0,152405,18480,,368226.0
1981,ME,Maine,1132000,2214,36,145.0,,368,1665,45820.0,14081.0,29545,2194,,63816.0
1981,MI,Michigan,9201000,59058,861,4366.0,,23688,30143,571582.0,171331.0,341805,58446,,832975.0
1981,MN,Minnesota,4090000,9344,85,1056.0,,4266,3937,184387.0,52253.0,121834,10300,,250006.0
1981,MO,Missouri,4938000,26675,516,1465.0,,10629,14065,237575.0,78173.0,140567,18835,,357004.0
1981,MT,Montana,792000,2004,27,175.0,,302,1500,37746.0,7651.0,27874,2221,,48928.0
1981,NC,North Carolina,5951000,25986,541,1351.0,,4809,19285,243012.0,79545.0,151679,11788,,368369.0
1981,ND,North Dakota,658000,444,15,57.0,,85,287,19237.0,3294.0,14859,1084,,23277.0
1981,NE,Nebraska,1576000,2861,49,323.0,,1115,1374,62977.0,14383.0,45324,3270,,81644.0
1981,NH,New Hampshire,935000,1375,27,154.0,,335,859,39034.0,11090.0,25692,2252,,52385.0
1981,NJ,New Jersey,7401000,46674,542,2374.0,,24761,18997,410693.0,128274.0,231846,50573,,605180.0
1981,NM,New Mexico,1327000,8913,151,628.0,,1868,6266,73369.0,21405.0,47252,4712,,110104.0
1981,NV,Nevada,845000,7575,148,548.0,,3870,3009,65027.0,23046.0,36955,5026,,98805.0
1981,NY,New York,17594000,188178,2166,5479.0,,120344,60189,1026757.0,350422.0,539486,136849,,1627712.0
1981,OH,Ohio,10776000,53509,799,3339.0,,25529,23842,533498.0,160951.0,326770,45777,,772599.0
1981,OK,Oklahoma,3098000,13223,279,1091.0,,3574,8279,136637.0,49220.0,74460,12957,,207638.0
1981,OR,Oregon,2647000,12671,117,1105.0,,4780,6669,173596.0,52067.0,112518,9011,,245120.0
1981,PA,Pennsylvania,11864000,44104,729,2662.0,,22137,18576,392872.0,122372.0,226701,43799,,578653.0
1981,RI,Rhode Island,952000,4205,40,170.0,,1257,2738,51504.0,15755.0,27525,8224,,74242.0
1981,SC,South Carolina,3166000,20275,330,1148.0,,3805,14992,148127.0,50520.0,88887,8720,,234244.0
1981,SD,South Dakota,685000,718,12,79.0,,122,505,19922.0,4348.0,14587,987,,25505.0
1981,TN,Tennessee,4610000,19019,448,1735.0,,7916,8920,179737.0,63811.0,100526,15400,,271935.0
1981,TX,Texas,14755000,78560,2446,6821.0,,28528,40765,814163.0,275978.0,454879,83306,,1211912.0
1981,UT,Utah,1516000,4527,50,431.0,,1286,2760,82643.0,19326.0,58855,4462,,109306.0
1981,VA,Virginia,5426000,17456,464,1478.0,,7229,8285,235984.0,63350.0,161678,10956,,325539.0
1981,VT,Vermont,515000,659,22,170.0,,142,325,25404.0,8033.0,15860,1511,,34443.0
1981,WA,Washington,4212000,18839,213,2115.0,,5475,11036,265135.0,79696.0,171994,13445,,374919.0
1981,WI,Wisconsin,4739000,8904,161,745.0,,3249,4749,216997.0,50813.0,155892,10292,,281624.0
1981,WV,West Virginia,1951000,3410,118,289.0,,979,2024,47681.0,15122.0,28884,3675,,68355.0
1981,WY,Wyoming,492000,2116,27,174.0,,206,1709,23133.0,4728.0,16972,1433,,31713.0
1982,,,231664458,1322390,21010,78770.0,,553130,669480,11652000.0,3447100.0,7142500,1062400,,17111980.0
1982,AK,Alaska,438000,2732,81,374.0,,586,1691,24479.0,5204.0,16672,2603,,34187.0
1982,AL,Alabama,3943000,17653,417,1026.0,,4417,11793,165048.0,49531.0,104740,10777,,244442.0
1982,AR,Arkansas,2291000,7438,187,622.0,,1805,4824,81259.0,24547.0,52450,4262,,118255.0
1982,AZ,Arizona,2860000,14785,236,1100.0,,4537,8912,189161.0,53861.0,124723,10577,,266955.0
1982,CA,California,24724000,201429,2779,12529.0,,91988,94133,1599827.0,499466.0,935831,164530,,2397634.0
1982,CO,Colorado,3045000,15354,182,1356.0,,4587,9229,200230.0,53260.0,134873,12097,,278255.0
1982,CT,Connecticut,3153000,12597,164,692.0,,6574,5167,158532.0,44481.0,96640,17411,,220941.0
1982,DC,District of Columbia,631000,13397,194,421.0,,9137,3645,52295.0,14774.0,33435,4086,,84305.0
1982,DE,Delaware,602000,3370,32,186.0,,737,2415,35067.0,8698.0,23891,2478,,49582.0
1982,FL,Florida,10416000,93411,1409,5587.0,,31002,55413,684166.0,211932.0,427462,44772,,1046331.0
1982,GA,Georgia,5639000,26963,713,2242.0,,8716,15292,267097.0,84469.0,165049,17579,,394534.0
1982,HI,Hawaii,994000,2542,31,342.0,,1560,609,62906.0,16477.0,42248,4181,,82565.0
1982,IA,Iowa,2905000,5018,67,362.0,,1051,3538,115148.0,27535.0,82568,5045,,151306.0
1982,ID,Idaho,965000,2501,24,160.0,,292,2025,36902.0,9958.0,25256,1688,,51410.0
1982,IL,Illinois,11448000,88644,1005,3424.0,,39700,44515,579954.0,157273.0,354106,68575,,871391.0
1982,IN,Indiana,5471000,16444,355,1521.0,,5966,8602,225894.0,59569.0,148454,17871,,310864.0
1982,KS,Kansas,2408000,8088,138,596.0,,2095,5259,111156.0,32382.0,73416,5358,,157023.0
1982,KY,Kentucky,3667000,11550,355,734.0,,3568,6893,119304.0,37736.0,73020,8548,,175838.0
